Category,Short Form,Regex,Full Form (English),Related,Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
1.12.2_magic,,,Async Observer,,1.12.2,,,异步侦测器链,,,,,,,,,,,,,,,,Observer Asíncrono,
1.12.2_magic,,,Blockstate palettes,,1.12.2,,,方块状态调色板,,,,,,,,,,,,,,,,Paletas de Blockstates,
1.12.2_magic,,,Chunk Manipulation,,,,,区块操作*,,,,,,,,,,,,,,,,Manipulación de Chunks,
1.12.2_magic,,,Chunk Population,,1.12.2,,,区块装饰,,,,,,,,,,,,,,,,Populación de Chunks,
1.12.2_magic,,,Chunk Swap,,1.12.2,,,区块替换,,,,,,,,,,,,,,,,Chunk Swap,
1.12.2_magic,,,Cluster,,1.12.2,,,区块集群,,,,,,,,,,,,,,,,Cluster,
1.12.2_magic,,,Falling Swap,,1.12.2,,,落沙替换,,,,,,,,,,,,,,,,Falling swap,
1.12.2_magic,,,Instant falling,,1.12.2,,,瞬时下落,1.12中存在的游戏规则，其使任何重力方块跳过坠落过程直接出现于坠落的目标位置。,,,,,,,,,,,,,,,Instant Fall (Caída instantánea de bloques),
1.12.2_magic,ITT,,Instant Scheduling (aka Instant Tile Tick),,1.12.2,,,瞬时计划刻,1.12中存在的游戏规则，其使得任何计划刻无视延迟立即执行。,,,,,,,,,,,,,,,Instant Scheduling (Scheduling instantáneo),
1.12.2_magic,ITT,,Instant Tile Tick (aka Instant Scheduling),,1.12.2,,,瞬时计划刻,1.12中存在的游戏规则，其使得任何计划刻无视延迟立即执行。,,,,,,,,,,,,,,,Instant Tile Tick (Tile ticks instantáneos),
1.12.2_magic,,,Synchronized method,,1.12.2,,,同步锁方法,,,,,,,,,,,,,,,,Método `synchronized`,
1.12.2_magic,,,Word Tear,,1.12.2,,,字撕裂,,,,,,,,,,,,,,,,Word tear,
coding,AABB,,Axis Aligned Bounding Box,,,,,（实体的）碰撞箱/边界箱,轴对齐边界框，一种常用于 计算机图形学 和 碰撞检测 中的简单边界框。 它们的特点是其边缘与坐标轴平行。（常指实体或方块的碰撞箱，用于检测碰撞和交互。）,,,,,,,,,,,,,,,Bounding Box Alineada en los Ejes,
coding,,,Bounding Box (aka Axis Aligned Bounding Box),,,,,（实体的）碰撞箱/边界箱,轴对齐边界框。指实体或方块的碰撞箱。,,,,,,,,,,,,,,,Bounding Box Alineada en los Ejes,
coding,BFS,,Breadth First Search,,,,,广度/宽度优先搜索,一种搜索算法，从起始节点开始，逐层扩展，先访问离起始节点最近的节点，后访问离起始节点稍远的节点。以此类推，直到完成整个搜索过程。,,,,,,,,,,,,,,,Búsqueda en Anchura,
coding,CCE ,,ClassCastException ,,,,,类型转换异常  ,是Java的一个运行时异常，当一个对象的类型被强制转换到一个它不符合的类型的时被抛出。可以通过方块实体替换抛出CCE实现强转更新抑制。,,,,,,,,,,,,,,,,
coding,CME,,ConcurrentModificationException,,,,,并发修改异常,Java 中的一个运行时异常，通常在对集合进行迭代的过程中修改了集合结构时（例如，增删元素）抛出,,,,,,,,,,,,,,,ConcurrentModificationException (error de java),
coding,,,Congruential Generator,,,,,同余生成器,,,,,,,,,,,,,,,,Generador Congruencial,
coding,DFS,,Depth-First Search,,,,,深度优先搜索,一种用于遍历或搜索的算法，其尽可能深入地访问每个节点，直到无法继续为止，然后回溯到之前的节点层继续遍历。,,,,,,,,,,,,,,,Búsqueda Depth-First,
coding,DP,,Dynamic Programming,,,,,动态规划,,,,,,,,,,,,,,,,Programación Dinámica,
coding,,,Hash,,,,,哈希,一种将任意大小数据映射至固定大小的输出（哈希值）的技术。,,,,,,,,,,,,,,,Hash,
coding,,,Hitbox (aka Axis Aligned Bounding Box),,,,,（实体的）碰撞箱/边界箱,,,,,,,,,,,,,,,,Hitbox,
coding,IAE ,,IllegalArgumentException ,,,,,非法参数异常 ,,,,,,,,,,,,,,,,,
coding,MCP,,Mod Coder Pack,,,,,MCP,模组开发提供便利，反混淆的工具。,,,,,,,,,,,,,,,Mod Coder Pack,
coding,,,Noise Map,,,,,噪声图,,,,,,,,,,,,,,,,Mapa de Ruido,
coding,,,Operation Stack,,,,,操作栈,,,,,,,,,,,,,,,,Stack de Operaciones,
coding,OOM ,,OutOfMemoryError ,,,,,内存溢出错误,,,,,,,,,,,,,,,,,
coding,,,Perlin Noise,,,,,柏林噪声,,,,,,,,,,,,,,,,Ruido de Perlin,
coding,,,Queue,,,,,队列,一系列等待被执行的事件。,,,,,,,,,,,,,,,Lista de espera,
coding,RNG,,Random Number Generation,,"Every randomized action in the game is based on a single pseudo random number generator. The generator has a reset function and a ""forward function"", which is called whenever a random number is required.",,,随机数生成,游戏内的随机事件均由一个随机数生成器。该生成器可被重置，或者返回下一个随机数值。,,,,,,,,,,,,,,,,
coding,,,RNG Manipulation,,Manipulate the chance of a random event happening.,,,随机数操控*,通过特殊逆向方法破解随机数生成器后，更具其规则，有意地进行某些行为以操控该随机数生成器的下一个结果。,,,,,,,,,,,,,,,Manipulación de RNG,
coding,,,Stack,,,,,栈,,,,,,,,,,,,,,,,Stack,
coding,SOE ,,StackOverflowError ,,,,,栈溢出异常 ,,,,,,,,,,,,,,,,,
coding,UI,,User Interface,,"The part of a contraption or system that the end user interacts with, regardless of the inner workings of the system.",,,用户面板,,,,,,,,,,,,,,,,Interfaz de Usuario,
computational,,,(Shulker Box) Disk Driver,,,,,盒子硬盘,,,,,,,,,,,,,,,,(Shulker Box) Disk Driver,
computational,,,AND-Gate,,,,,与门,与门。一种逻辑电路，输出仅在所有输入均为真时为真。,,,,,,,,,,,,,,,Puerta AND,
computational,,,Decoder,,"In computational redstone, it's sometimes used to mean increasing the size of a base, bin to hex, for example, see Transcoder.",,,解码器,在计算红石中，有时指增大编码基数，例如从二进制（bin）转换为十六进制（hex），参见转码器（Transcoder）。,,,,,,,,,,,,,,,Decodificador,
computational,,,Encoder,,"In computational redstone, this sometimes refers to decreasing the size of the base used in the code: for example hex to bin. see Transcoder.",,,编码器,,,,,,,,,,,,,,,,Codificador,
computational,,,Fifo (aka Shift Register),,,,,移位寄存器,,,,,,,,,,,,,,,,Registro de Desplazamiento,
computational,,,Logical Gate,,,,,逻辑门,一种逻辑运算单元，在minecraft中，其有信号，无信号可以分别代表逻辑上个“真”搭“假”或二进制当中个1搭0，从而实现逻辑运算。,,,,,,,,,,,,,,,Puerta Lógica,
computational,,,Parallel Codes,,"A code is said to be parallel if the all the bits of the signal are sent through individual wires or lines This usually allows for faster and easier to use codes than Serial codes, but it tends to be more expensive and bigger.",,,并行码/并行信号,,,,,,,,,,,,,,,,Código en Paralelo,
computational,RAM,,Random-Access Memory,,,,,读写存储器,,,,,,,,,,,,,,,,Memoria de Acceso Aleatorio,
computational,ROM,,Read-Only Memory,,,,,只读存储器,,,,,,,,,,,,,,,,Memoria de solo lectura,
computational,,,Redcoder,,,,,红石信号解码器,,,,,,,,,,,,,,,,Redcoder,
computational,,,Serial Codes,,"A code is said to be serial if the bits of the signal are sent one after the other through a single wire. This is more space and resource efficient than Parallel codes, but usually slower and harder to implement.",,,串行码/并行信号,,,,,,,,,,,,,,,,Código Serial,
computational,,,Shift Register (aka Fifo),,,,,移位寄存器,,,,,,,,,,,,,,,,Registro de Desplazamiento,
computational,,,T Flip-Flop,,Short for Toggle Flip-Flop. Refers a circuit that changes its output state (toggles) when a pulse is received.,,,T触发器/T触,一个装置，受到一次脉冲时翻转自身状态。,,,,,,,,,,,,,,,T Flip-Flop,
computational,,,Toggle State,,"Usually used to refer to intentionally having sticky piston's drop its block by sending it a <3gt pulse in order to cycle between two different states (toggling between block in and out). Importantly, togglestates have no default position, and there is no way to reset them. This makes them painful to use in survival as they're hard to debug. This is different to latches, which are also systems that hold state. Latches usually have a reset signal that you can trigger when something goes wrong.",,,T触*,,,,,,,,,,,,,,,,Toggle State (Estados alternos),
computational,,,Transcoder,,"A device or contraption to convert between encodings of a signal: Binary to Hexadecimal, hex to octal, pulse length to binary, block event delay to overloaded comparator, etc.",,,转码器,,,,,,,,,,,,,,,,Transcodificador,
contraptions,,,Bartering Farm,,,,,猪灵交易所,指通过与猪灵交易获取资源的自动化农场。,,,,,,,,,,,,,,,Granja de Bartering,
contraptions,,,Basalt Farm,,,,,玄武岩机,产出玄武岩的刷石机。,,,,,,,,,,,,,,,Granja de Basalto,
contraptions,,,Breeder,,A contraption that breeds mobs.,,,繁殖机,繁殖生物的装置。,,,,,,,,,,,,,,,Breeder,
contraptions,,,Bridge Maker,,,,,造桥机/铺路机,自动建造桥梁以跨越地形的装置。,,,,,,,,,,,,,,,Creadora de Puentes,
contraptions,,,Carpet Duping/Duper,,,,,地毯复制/复制机,自动化复制地毯的装置。,,,,,,,,,,,,,,,Duper de alfombras,
contraptions,,,Chunk Loader,,,,,区块加载器,指用于保持区块加载以维持装置运行的装置。,,,,,,,,,,,,,,,Cargador de Chunks,
contraptions,,,Chunk Loader Line,,,,,区块加载器链,一连串区块加载器。,,,,,,,,,,,,,,,Línea de Cargadores de Chunks,
contraptions,,,Cobblestone Farm,,,,,刷石机,自动产出石头的装置。,,,,,,,,,,,,,,,Granja de Cobblestone,
contraptions,,,Concrete Converter,,,,,混凝土固化机,将混凝土粉末转换为混凝土的装置。,,,,,,,,,,,,,,,Convertidor de Concreto,
contraptions,,,Concrete Factory,,Refers to a contraption that converts concrete powder duped from a gravity block duper to concrete and destroys the concrete.,,,混凝土固化机,将混凝土粉末转换为混凝土的装置，但特别为刷沙机设计。,,,,,,,,,,,,,,,Fábrica de Concreto,
contraptions,,,Dragon Killer/Slayer,,,,,屠龙炮,使用高度箭瞬间杀死末影龙的装置。,,,,,,,,,,,,,,,Matador de dragones,
contraptions,,,Elytra Cannon (aka Player Cannon),,,,,玩家炮/鞘翅炮,类似珍珠炮，但被推进的是玩家而非珍珠。,,,,,,,,,,,,,,,Cañón de Elytras (o Cañón de Player),
contraptions,,,Flower Farm,,,,,刷花机,产出花的自动化农场。,,,,,,,,,,,,,,,Granja de Flores,
contraptions,,,Fortress Farm,,,,,要塞全怪塔/堡垒全怪塔,自动化生产所有下界要塞中怪物的掉落物的自动化农场。,,,,,,,,,,,,,,,Granja general de mobs de fortaleza,
contraptions,GMF,,General Mob Farm,,,,,主世界刷怪塔,建造在主世界的自动化怪物战利品获取农场。,,,,,,,,,,,,,,,Granja general de Mobs,
contraptions,,,Gravity Block Duper,,,,,刷沙机,自动化复制重力方块的装置。,,,,,,,,,,,,,,,Duper de bloques con gravedad,
contraptions,,,Ice Farm,,,,,刷冰机,自动化获取冰的农场。,,,,,,,,,,,,,,,Granja de Hielo,
contraptions,,,Iron Farm,,,,,刷铁机,生产铁的自动化农场。,,,,,,,,,,,,,,,Granja de Hierro,
contraptions,,,Map Art,,,,,地图画,使用地图进行的艺术创作。,,,,,,,,,,,,,,,Map Art,
contraptions,,,Mob Head Farm,,,,,头颅农场,,,,,,,,,,,,,,,,Granja de Cabezas de Mobs,
contraptions,,,Pearl cannon,,,,,珍珠炮,指利用爆炸物等推进剂加速珍珠并使其快速移动的装置。,,,,,,,,,,,,,,,Cañón de perlas,
contraptions,,,Pearl Stasis Chamber,,,,,珍珠缓存站/滞留站,将珍珠投掷物长久性留存在某个位置的装置。,,,,,,,,,,,,,,,Stasis chamber de Perlas,
contraptions,,,Pig Cannon,,,,,猪炮,以极高的速度发射猪。,,,,,,,,,,,,,,,Cañón de Cerdos,
contraptions,,,Piston Bolt,,A contraption using an array of pistons to move minecarts on specific rail setup to achieve a high movement speed.,,,矿车传送带/活塞矿车,通过特殊的活塞与铁轨排列以达到高度移动矿车的装置。,,,,,,,,,,,,,,,Piston Bolt,
contraptions,,,Player Cannon (aka Elytra Cannon),,,,,玩家炮/鞘翅炮,以极高的速度发射玩家。,,,,,,,,,,,,,,,Cañón de Jugadores (de elytras),
contraptions,,,Quarry,,,,,挖矿机/采矿机/采石场,,,,,,,,,,,,,,,,Quarry,
contraptions,,,Quarry Trencher,,"A flying machine that makes trench by transporting blocks from terrain and destroys elsewhere, similar to a quarry.",,,挖沟机,指将自动将沿路方块移走并销毁的装置。,,,,,,,,,,,,,,,Trencher de Quarry,
contraptions,,,Rail Duping/Rail Duper,,,,,铁轨复制/刷铁轨机,自动化复制铁轨的装置。,,,,,,,,,,,,,,,Duper de Railes,
contraptions,,,Sand Duping/Sand Duper,,,,,刷沙/刷沙机,属于重力方块复制机的一种，但仅复制沙子类的方块。*,,,,,,,,,,,,,,,Duper de Arena,
contraptions,,,Sheep Fricker,,,,,草羊机,,,,,,,,,,,,,,,,Violadora de Ovejas,
contraptions,,,String Duper,,,,,刷线机,,,,,,,,,,,,,,,,Duper de Hilo,
contraptions,,,Trading Hall,,,,,村民交易所,,,,,,,,,,,,,,,,Trading Hall,
contraptions,,,Trencher,,A flying machine that makes trench.,,,炸沟机/挖沟机,,,,,,,,,,,,,,,,Trencher,
contraptions,,,Trenchless Quarry,,Quarry which does not require clearance on the bottom or sides.,,,无沟采矿机,,,,,,,,,,,,,,,,Quarry sin trincheras,
contraptions,,,Tripwire Hook Duper,,,,,刷钩机,,,,,,,,,,,,,,,,Duper de Tripwire Hook,
contraptions,,,Update Skipping/Skipper,,,,,更新跳略/跳略机,,,,,,,,,,,,,,,,Update Skipping/Skipper,
contraptions,,,Update Suppression ,,"The practice of forcing the game to stop the current block update process, skip all unexecuted block updates, and all of code after the update. ",,,更新抑制 ,指在方块更新传播过程中，迫使游戏停止当前方块更新过程，跳过所有未执行的方块更新，以及更新后的一系列其他游戏逻辑。,,,,,,,,,,,,,,,,
contraptions,,,Update Suppression/Suppressor,,,,,更新抑制/抑制器,,,,,,,,,,,,,,,,Update Suppression,
contraptions,,,Wither Killer,,,,,杀凋机,,,,,,,,,,,,,,,,Wither Killer,
contraptions,,,Wool Farm,,,,,羊毛机,,,,,,,,,,,,,,,,Granja de Lana,
contraptions,WE,,World Eater,,,,,世界吞噬者/世吞,,,,,,,,,,,,,,,,World eater,
contraptions; slimestone,,,(Liquid) Sweeper,,Slimestone term. Refers to a flying machine that clears out fluid within an area.,,,排水机,绿萌术语。指一种清除区域内液体的飞行器。,,,,,,,,,,,,,,,Barredora (de líquidos),
contraptions; slimestone,,,1-Wide Trench World Eater (aka Trench-less World Eater),,Slimestone term. Usually refers to world eaters that only require 1 wide main trenches on both sides.,,,无沟世吞,绿萌术语。通常指仅需两侧各1格宽主沟渠的世界吞噬者。,,,,,,,,,,,,,,,World eater sin trenches,
contraptions; slimestone,,,3 Way Duper,,Slimestone term. Refers to small TNT dupers with movable stations that move in 3 directions to clear an area,,,三向轰炸机,绿萌术语，指可在三个方向移动的小型TNT复制机，用于清除区域,,,,,,,,,,,,,,,Duper 3D,
contraptions; slimestone,,,Bomber,,Slimestone term. Refers to small TNT dupers with movable stations to clear an area.,,,轰炸机,绿萌术语。指用于清理区域的，小型的移动的TNT复制机。,,,,,,,,,,,,,,,Bombardero,
contraptions; slimestone,,,Ceiling Placer,,Slimestone term.,,,铺天花板机,,,,,,,,,,,,,,,,Colocador de techos,
contraptions; slimestone,,,Floor Placer,,Slimestone term.,,,铺地板机,,,,,,,,,,,,,,,,Colocador de suelos,
contraptions; slimestone,,,Trench-less World Eater (aka 1-Wide Trench World Eater),,Slimestone term. Usually refers to world eaters that only require 1 wide main trenches on both sides.,,,无沟世吞,,,,,,,,,,,,,,,,World eater sin trenches,
contraptions; slimestone,,,Tunnel Bore,,Slimestone term. Refers to machines that digs tunnels.,,,盾构机,,,,,,,,,,,,,,,,Tuneladora,
contraptions; slimestone,VDQ,,Vertical Duping Quarry,,Slimestone term.,,,垂直复制采矿机,,,,,,,,,,,,,,,,Quarry de Duplicación de TNT Vertical,
contraptions; slimestone,,,Wall Placer,,Slimestone term.,,,铺墙机/糊墙机,,,,,,,,,,,,,,,,Colocador de Muro,
contraptions; storage,MS,,Main Storage,,Storage tech term.,,,全物品/全物品分类仓库,储电述语，指一个巨大的仓库，其可分类并存储几乎所有可获得的已知物品。,,,,,,,,,,,,,,,Almacén Principal,
contraptions; tree_farm,UTF,,Universal Tree Farm,,"Tree farming term. In versions <1.17, refers to tree farm that farms all 5 types of 1x1 trees (birch, oak, spruce, jungle, acacia). In versions >1.17, usually refers to tree farm that can farm all 1x1 trees except mangrove (birch, oak, spruce, jungle, acacia, azalea, cherry).",,,全树种,,,,,,,,,,,,,,,,Granja de Madera Universal,
general,0t,,0-tick,,Usually refers to a redstone signal that is shorter than 1gt. Also used to describe a piston extending and retracting within the same game tick.,,,0t,常指短于1游戏刻的红石信号。也可用于描述在同一游戏刻内活塞的伸出和缩回。,,,,,,,,,,,,,,,0-tick,
general,,,Array,,,,,阵列,阵列。指一组按特定模式排列的样式。,,,,,,,,,,,,,,,Array,
general,,,Bedrock Breaking/Breaker,,,,,破基岩/破基岩机/基岩机,用于破坏基岩的装置。,,,,,,,,,,,,,,,Bedrock Breaker,
general,,,Bedrock-less,,Usually used to describe wither cages without bedrock.,,,无基岩,通常用于描述不含基岩的凋灵笼。,,,,,,,,,,,,,,,Sin bedrock,
general,,,Biome,,,,,生物群系,生物群系。指游戏中具有特定环境和生态特征的区域。,,,,,,,,,,,,,,,Bioma,
general,B36,,Block 36 (aka Moving Piston),,,,,36号方块,移动中的活塞。,,,,,,,,,,,,,,,Bloque 36,
general,,,Block Entity (aka Tile Entity),,,,,方块实体,指具有外观渲染，特殊功能或存储NBT数据的方块，如箱子、熔炉等。,,,,,,,,,,,,,,,Block Entity (Tile entity),
general,BE,,Block Event,,,,,方块事件,用于同步并指导客户端执行特定方块行为或者模拟服务器发生的方块行为。,,,,,,,,,,,,,,,Block Event,
general,BED,,Block Event Delay/Depth,,"Usually refers to piston updating other pistons in a chain reaction within a single game tick. Since pistons activate during the block event phase of the tick (kind of) and things execute in the order they are scheduled, having something be activated by a piston that was updated by a chain of three other pistons before it (BED 3) will always happen before something that was activated by a BED 5 event.",,,方块事件深度/方块事件延迟,方块事件延迟/深度。通常指在单个游戏刻内，活塞通过链式反应更新其他活塞。由于活塞在游戏刻的方块事件阶段激活，且按调度顺序执行，由三个活塞链更新触发的活塞（BED 3）总比由五个活塞链更新触发的（BED 5）先发生。,,,,,,,,,,,,,,,Block Event Delay,
general,,,Block Stream,,,,,方块流,,,,,,,,,,,,,,,,Corriente de bloques,
general,,,Block Stream Merger,,,,,方块整流器,,,,,,,,,,,,,,,,Unificador de corrientes de bloques,
general,,,Block Tick (aka Tile Tick),,,,,计划刻,指游戏中为特定方块安排的延迟执行任务。,,,,,,,,,,,,,,,Tile Tick,
general,BUD,,Block Update Detector,,A device that has something happen when it receives an update.,,,方块更新检测器,方块更新检测器。一种在接收到（NC）更新时触发特定动作的装置。,,,,,,,,,,,,,,,Detector de Block Updates,
general,,,Border Load,,,,,边界加载,,,,,,,,,,,,,,,,Carga de Bordes,
general,,,Chunk,,,,,区块,指游戏世界中16x16x<世界高度>的区域，用于管理地形和实体加载。,,,,,,,,,,,,,,,Chunk,
general,,,Chunk Section,,,,,子区块/区段,一个区块被分为数个16x16x16的子区块,,,,,,,,,,,,,,,Sección de Chunk,
general,CT,,Chunk Tick,,,,,区块刻,区块处理，如随机刻等。,,,,,,,,,,,,,,,Chunk Tick,
general,,,Chunk Ticket,,,,,加载票,用于控制区块加载的机制。,,,,,,,,,,,,,,,Ticket de Chunk,
general,,,Collection,,Usually refers to a component that collects the item drops.,,,收集,自动集中掉落物的装置。,,,,,,,,,,,,,,,Colección,
general,,,Comparator Update,,,,,比较器更新,,,,,,,,,,,,,,,,,
general,CUD,,Comparator Update Detector (aka Tile Entity Update Detector),,"Refers to a comparator that will change its signal once it either receives a block or inventory update. It is based on the behavior inherent to comparators where they don't notice inventory changes when reading it through a solid block (including an inventory being moved away or put in place, like a composter being moved by a piston). The CUD will then change it's signal once it either receives a block or inventory update.",,,比较器更新检测器,检测比较器更新。,,,,,,,,,,,,,,,Detector de Updates de Tile Entities (Detector de Updates de Comparadores),
general,,,Conversion,,,,,换算,,,,,,,,,,,,,,,,Conversión,
general,,,Conveyor,,Usually refers to a contraption that conveys a block or entity.,,,传送带,传世方块或实体的装置。,,,,,,,,,,,,,,,Cinta transportadora,
general,,,Crafter,,,,,合成器/牛爷爷,,,,,,,,,,,,,,,,Crafter,
general,,,Crosstalk,,A term used for when 2 tiled Slices are interfering with each other in any situation.,,,串线,指两个单片/线路的互相影响。,,,,,,,,,,,,,,,Crosstalk (Diafonía),
general,cyc,,Cyclical,,,,,循环的,,,,,,,,,,,,,,,,Cíclico,
general,DUD,,Data Update Detector (aka Comparator Update Detector),,"Refers to a comparator that will change its signal once it either receives a block or inventory update. It is based on the behavior inherent to comparators where they don't notice inventory changes when reading it through a solid block (including an inventory being moved away or put in place, like a composter being moved by a piston). The CUD will then change it's signal once it either receives a block or inventory update.",,,方块实体更新检测器(/CUD*),指一种比较器，当接收到方块或库存更新时会改变其信号。这种机制基于比较器的固有行为，即通过固体方块读取时无法察觉库存变化（包括库存被移走或放置，例如堆肥桶被活塞移动）。比较器更新检测器（CUD）在接收到方块或库存更新时会改变其信号。,,,,,,,,,,,,,,,Detector de Updates de Dato (Detector de Updates de Comparadores),
general,dir,,Directional,,"A contraption is said to be directional if it exhibits a different behavior when rotated or mirrored. This is usually caused by some internal component being directional itself, which in turn is most often caused by update order: each components notifies its neighbors of the update in a set order (for example, negative to positive z first, then negative to positive y, then x). There are also other causes of directionality.",,,方向性,如果一个装置在旋转或镜像时表现出不同的行为，则称其为方向性的。这通常是由于某些内部组件本身具有方向性，而方向性最常见的原因是更新顺序：每个组件按固定顺序（例如，先从负Z到正Z，再从负Y到正Y，然后是X）通知其邻居进行更新。此外，也存在其他导致方向性的原因。,,,,,,,,,,,,,,,Direccional,
general,,,Down Acceleration,,,,,下弹,,,,,,,,,,,,,,,,Aceleración hacia abajo,
general,,,Drops (aka Item Drops),,,,,掉落物,,,,,,,,,,,,,,,,Drops,
general,DPH,,Drops Per Hour,,,,,掉落物每小时,,,,,,,,,,,,,,,,Drops por Hora,
general,,,Dust Updateless,,"Some contraptions are not Dustless, but the dust they use does not get updated (does not change ss). This can be because it is either used to steadily power a component, or because it's used by redirecting it, but not changing ss. Redirecting dust is really lag friendly, as lag usage goes. These terms are therefore often used interchangeably.",,,无红石粉能量变化;无粉(广义),一些装置不是无粉的，但其中的粉不会发出方块更新和改变信号值。,,,,,,,,,,,,,,,Sin actualizaciones de polvo de redstone,
general,DL,,Dustless,,"Usually refers to dust update-less contraption, but it can also be used to state the absence of redstone dust within a contraption.",,,无粉(狭义),通常指无红石粉更新的装置，但也可用于表示装置内完全不含红石粉。,,,,,,,,,,,,,,,Sin polvo de redstone,
general,,,Dropper Line,,A line of droppers to transport items fast.,,,投掷器链,用投掷器快速传输物品的装置。,,,,,,,,,,,,,,,Línea de Droppers,
general,,,Dynamic,,,,,动态的,,,,,,,,,,,,,,,,Dinámico,
general,,,Efficiency,synonym:Return Rate,"Usually refers to how efficient a contraption is utilised, like the area efficiency of an ice farm.",,,利用率,描述一个自动农场的高效度。,,,,,,,,,,,,,,,Eficiencia,
general,,,Efficiency (aka Return Rate),,"Usually refers to the ratio of item collected with to the actual produced item. As an example for blast chambers, it can be written as 99.6% efficiency.",,,回收率,描述产物的有效回收率，如爆炸室的回收率可被称为99.6%*,,,,,,,,,,,,,,,Eficiencia (fracción/ratio de retorno),
general,,,Enderman,,,,,末影人/小黑,,,,,,,,,,,,,,,,Enderman,
general,,,Entity Loaded,,,,,强加载,该区域内实体被加载。,,,,,,,,,,,,,,,Entidades Cargadas,
general,,,Entity Processing,,As an adjective,,,强加载的,该区域内实体行为被计算。,,,,,,,,,,,,,,,Procesa Entidades,
general,EU,,Entity Update,,,,,实体运算/实体更新,实体的tick函数被调用。,,,,,,,,,,,,,,,Actualización de Entidades,
general,XP,,Experience,,,,,经验,奖励进度机制，通过击杀怪物/交易/采集方块获得。可以用于附魔/修复工具等。,,,,,,,,,,,,,,,Experiencia,
general,,,Falling Block,,,,,落沙/落沙实体/下落方块,坠落中的重力方块的实体。,,,,,,,,,,,,,,,Falling Block,
general,,,Farm,,Machines for the production of resources in particular,,,农场,自动化产出资源的机器。,,,,,,,,,,,,,,,Granja,
general,FTL,,Faster Than Light,,Usually refers to pearl cannon where the pearl transports faster than the speed of light.,,,FTL,常形容珍珠速度超过光速的珍珠炮。,,,,,,,,,,,,,,,Más rápido que la luz,
general,,,Filtered,,,,,分类的,,,,,,,,,,,,,,,,Filtrado,
general,FM,,Flying Machine,,,,,飞行器,,,,,,,,,,,,,,,,Máquina Voladora,
general,,,Force Load,,,,,强制加载,该区域被强制加载，尽管不符合被加载的常见条件。,,,,,,,,,,,,,,,Carga forzada,
general,FPS,,Frames Per Second,,"A measure of how many frames a client is able to process each second. This is similar to, but independent of TPS, which denotes server-side performance.",,,帧率,描述客户端每秒可以处理并展示的画面数。类似但不同于TPS。后者用于衡量服务器性能。,,,,,,,,,,,,,,,Frames por segundo,
general,gt,,Game Tick (aka Tick),,"Minecraft iteratively runs its processing code in a loop. One cycle of this loop is called a Tick or Gametick (gt). Gameticks are also used as the default measurement of time while working with redstone. The game attempts to run 20 gameticks a second (20tps), but will fail to do so and slow down the game if the server is lagging (>50mspt). ",,,游戏刻,Minecraft循环执行其代码。其中一轮循环被称为一个游戏刻。,,,,,,,,,,,,,,,Game Tick,
general,HOTV,,Hero of the Village,,A status effect granted to the player upon defeating a raid.,,,村庄英雄,击败袭击后得到此效果。,,,,,,,,,,,,,,,Héroe de la Aldea,
general,HS,,Honey Slime,,Honey and slime blocks,,,蜜绿,蜂蜜块和粘液块。,,,,,,,,,,,,,,,Honey Slime (Bloque de miel y Slime),
general,,,Hopper Line,,,,,漏斗链,漏斗组成的，传输物品的传输链。,,,,,,,,,,,,,,,Línea de Hoppers,
general,,,Hostile Mob Switch,,,,,敌对生物伪和平/伪和平,通过刻意填充纬度中的怪物上限以达到类似“和平模式”（无怪物生成）的装置。,,,,,,,,,,,,,,,Mobswitch de Mobs Hostiles,
general,,,Hostile Mobs,,,,,敌对生物,会试图主动攻击玩家的实体。,,,,,,,,,,,,,,,Mobs Hostiles,
general,,,Hunger level,,,,,饥饿值,,,,,,,,,,,,,,,,Nivel de Hambre,
general,,,Hybrid,,,,,复合的,,,,,,,,,,,,,,,,Híbrido,
general,,,Ice Highway,,,,,冰道,由冰组成的，可以快速运输实体的道路。,,,,,,,,,,,,,,,Autopista de Hielo,
general,,,Instant,,,,,即时(瞬时),事件B直接在事件A的调用堆栈中被引发。,,,,,,,,,,,,,,,Instantáneo,
general,,,Instant Wire,,Refers to a contraption or wiring that can send signal instantly,,,瞬时线路,指可以瞬时快速传递信号的装置。,,,,,,,,,,,,,,,Cable (Wire) instantáneo,
general,,,Invisible chunks(I),,1.12.2,,,隐形区块,,,,,,,,,,,,,,,,Chunks Invisibles,
general,,,Item Drops (aka Drops),,,,,掉落物,世界空间中的物品实体。,,,,,,,,,,,,,,,Drops,
general,,,Item Shadowing ,,,,,物品分身,,,,,,,,,,,,,,,,,
general,,,Job Site Block (aka Workstation),,Any block that a player or villager can use to produce items.,,,（村民）工作站,,,,,,,,,,,,,,,,Mesa de trabajo,
general,,,Layout,,,,,架构,方块的有效排列组合*,,,,,,,,,,,,,,,Layout,
general,,,Lazy Link,,,,,弱链接,从弱加载的载具中被取出的乘客与载具保持弱链接关系。,,,,,,,,,,,,,,,Linkeo en Lazy,
