Category,Short Form,Regex,Full Form (English),Related,Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
general,,,Lazy Load,,,,,弱加载,该区域的实体不运算，方块行为照常运算。,,,,,,,,,,,,,,,Carga en Lazy,
general,,,Leafstone,,Refers to a method of sending signal or update through the state change of leaves.,,,树电,利用树叶的状态改变传递信号的行为。,,,,,,,,,,,,,,,Leafstone (Mecanismos con hojas y troncos),
general,,,Light Suppression ,,,,,光照抑制,,,,,,,,,,,,,,,,,
general,LUD,,Liquid Update Detector,,"Refers to a device that uses liquids to detect a special set of updates, some of which can be detected with a Block Update Detector, with a Comparator Update Detector or with an observer, but some of which are exclusively detected by LUDs. After detecting the update and triggering, it usually resets the liquid to a state where it can detect an update again.",,,流体更新检测器,使用流体检测更新的装置，如邻居更新，形状更新和比较器更新。,,,,,,,,,,,,,,,Detector de Actualizaciones de Líquidos,
general,loc,,Locational,,A contraption is said to be locational when it exhibits different behavior when built in different locations in the world. This is almost always caused by redstone dust updates themselves being locational: the way they notify their neighbors of their updates is not consistent across locations in the world. It is also sometimes caused by the updates sent from removal of slime structure when pushing or pulling the structure with pistons.,,,位置性,一个在不同位置表现不同的装置被称为位置性，常由位置的哈希值影响。该现象在方块实体运算顺序，粉更新顺序，粘液块结构移动顺序等中体现。,,,,,,,,,,,,,,,Locacional,
general,,,MicroTiming,,,,,微时序,一个游戏刻内发生的事件的顺序被称为微时序。,,,,,,,,,,,,,,,Microtiming (Timings entre Fases del Tick),
general,MSPT,,Milliseconds Per Tick,,"A measurement of how many milliseconds it takes to process each gametick. If a server exceeds 50MSPT in total, then the game will slow down, as there is no longer enough time to process all 20 ticks per second. MSPT is also used as a measure of how performance-intensive a contraption is by seeing how much the MSPT increases by running/loading it.",,,MSPT,“毫秒每刻”用于衡量一游戏刻计算耗时的单位。当MSPT超过50时服务器将无法维持在20TPS。它同被用于衡量一台机器在被加载/运行时可以给服务器添加的负担。*,,,,,,,,,,,,,,,Milisegundos por Tick,
general,,,Mixed,,,,,混杂的,,,,,,,,,,,,,,,,Mezclado,
general,,,Momentum,,,,,动量*,实体在它运动方向上保持运动的趋势,,,,,,,,,,,,,,,Momento,
general,,,Motion,,,,,动量,"实体在它运动方向上，3个轴分别保持的趋势，由一个三维数组[x,y,z]描述。*",,,,,,,,,,,,,,,Movimiento,
general,,,Moving Piston (aka Block 36),,,,,移动中的方块,该方块由活塞生成，活塞推动/拉回路径上的方块均被转换为它以播放移动动画和处理动态碰撞箱等。,,,,,,,,,,,,,,,Pistón Moviéndose (B36),
general,NC,,Neighbor Change,,,,,方块更新,邻居更新，用于通知邻近方块更具周围的环境进行自身行为检测。,,,,,,,,,,,,,,,Neighbor Change,
general,,,Nether,,,,,下界/地狱,一个维度，与主世界的坐标成8倍缩放关系（仅x和z轴）,,,,,,,,,,,,,,,Nether,
general,,,Nether Transportation,,,,,地狱交通,位于地狱的交通路线，可以利用和主世界的坐标缩放高效地移动。,,,,,,,,,,,,,,,Transporte en el Nether,
general,,,Nether Tree,,Refers to huge fungus.,,,巨型下界菌/地狱菌,,,,,,,,,,,,,,,,Árbol del Nether,
general,NU/AT,,Network Update/Async Task,,,,,网络流更新/异步线程/玩家操作更新,执行从玩家收到的网络包提供的操作。,,,,,,,,,,,,,,,Actualización de Red / Tarea Asíncrona,
general,,,Neutral mobs,,,,,中立生物,该生物不会主动攻击玩家，除非被玩家伤害。,,,,,,,,,,,,,,,Mobs Neutrales,
general,NTE,,Next Tick Entry(aka Tile Tick),,,,,计划刻阶段,游戏刻内的该阶段统一顺序地处理方块计划刻和流体计划刻,,,,,,,,,,,,,,,Siguiente entrada (en la lista de) de Tick,
general,,,Passive mob switch,,,,,友好生物伪和平,同怪物伪和平，但针对友好生物。,,,,,,,,,,,,,,,Mobswitch de Mobs Pasivos,
general,,,Passive mobs,,,,,友好生物,该生物不会对玩家造成伤害，尽管主动玩家攻击它。,,,,,,,,,,,,,,,Mobs Pasivos,
general,Peri,,Perimeter,,,,,空置域,该片区域内的所有自然生成方块/结构均被摧毁。仅剩下人为在基岩层附近铺设的方块层，基岩，或者完全没有。,,,,,,,,,,,,,,,Perímetro,
general,,,Pistonless,,Used to tag contraptions that makes no use of pistons.,,,无活塞的,此装置内没有活塞。,,,,,,,,,,,,,,,Sin Pistones,
general,,,Playerless,,Adjective. Usually to describe a contraption that does not require player existence to operate.,,,无玩家,此装置无需玩家即可运行。,,,,,,,,,,,,,,,Sin jugadores,
general,POI,,Point Of Interest,,,,,兴趣点,一个被专门记录以便快捷高效地搜寻的位置。村民工作站，地狱门方块，避雷针等均携带兴趣点。,,,,,,,,,,,,,,,Punto de Interés,
general,,,Position,,,,,坐标,"一个三维数组[x,y,z]。*",,,,,,,,,,,,,,,Posición,
general,PP,,Post Placement (aka Shape Update),,,,,形状更新/状态更新,形状更新，用于通知邻近方块更具周围的环境改变自身形状。,,,,,,,,,,,,,,,Post-Colocado,
general,,,Projectile,,,,,弹射物/飞行物/投掷物,,,,,,,,,,,,,,,,Proyectil,
general,,,Pulse,,Usually refers to a redstone signal turning on and off once.,,,脉冲,红石信号的一次亮灭通常被称为脉冲。,,,,,,,,,,,,,,,Pulso,
general,QC,,Quasi Connectivity,,"The effect of quasi-powering a piston, dropper or dispenser. A good way to visualize when a block is being quasi-powering is to imagine a redstone lamp above the component. If that lamp was to be on in that location, the block is quasi-powered. Quasi-powering usually doesn't update the component being QCed, which results in the component not ""realizing"" it should activate or deactivate until it receives an update. For this reason, QC is often used for Block Update Detector, and people even sometimes say ""BUD powered"" rather than ""quasi powered"".",,,半连接性,指 活塞，发射器，投掷器 除了以自身是否被充能为激活条件外，还会检测自身上方一格是否被充能 的特性。,,,,,,,,,,,,,,,Quasiconectividad,
general,,,Random Tick & Climate (RTC),,,,,随机刻和气候,区块刻阶段中随机抽取方块执行随机刻逻辑以及放置雪等天气产物的阶段。,,,,,,,,,,,,,,,Random Ticks y Clima,
general,,,Rates,,Usually refers to the speed or amount of item drops of a contraption.,,,效率,常描述产出产物的效率。,,,,,,,,,,,,,,,Producción,
general,rt,,Redstone Tick,,,,,红石刻,历史遗留的歧义称呼。曾经的玩家将2游戏刻称为1红石刻。在基岩版中，该词汇形容每间隔1普通游戏刻才出现的，处理红石系统的特殊游戏刻。这个词的使用正在减少。*,,,,,,,,,,,,,,,Redstone Tick,
general,,,Reload Detection/Detector,,,,,重载检测/检测器,,,,,,,,,,,,,,,,Detector de Recargas,
general,RD,,Render Distance,,,,,视距,客户端渲染距离玩家的区块的最大距离。,,,,,,,,,,,,,,,Distancia de Renderizado,
general,,,Return Rate (aka Efficiency),,"Usually refers to the ratio of item collected with to the actual produced item. As an example for blast chambers, it can be written as 99.6% efficiency.",,,回收率,衡量多少产物可被有效地收集。,,,,,,,,,,,,,,,Tasa de retorno,
general,,,Safe,,,,,安全的,,,,,,,,,,,,,,,,Seguro,
general,,,Saturation level,,,,,饱和度,,,,,,,,,,,,,,,,Nivel de Saturación,
general,,,Scheduled Tick (aka Tile Tick),,,,,计划刻,指游戏中为特定方块安排的延迟执行任务。,,,,,,,,,,,,,,,Schedule Tick (Tile Tick),
general,Schem,,Schematic,,Litematica mod schematic,,,投影/原理图,一种nbt格式文件，记录一定区间内的方块排列。可被投影模组等读取,,,,,,,,,,,,,,,Schematic (Litematic),
general,,,Seed,,,,,种子,常指一个数字，它决定随机数生成的结果。拥有同样种子的随机数生成器会提供相同的结果。,,,,,,,,,,,,,,,Semilla,
general,,,Self-Returning,,,,,自返回,,,,,,,,,,,,,,,,Auto-Retorno,
general,Self-Sus,,Self-Sustaining,,Adjective. Usually used to describe farms that produces bone meal (usually by composting excess foliage) to sustain the bone meal consumption.,,,自循环,,,,,,,,,,,,,,,,Auto-Sostenible,
general,,,Shape Update(aka Post Placement),,,,,形状更新/状态更新,,,,,,,,,,,,,,,,Shape Update,
general,,,Side Acceleration,,,,,侧弹,,,,,,,,,,,,,,,,Aceleración lateral,
general,SS,,Signal Strength,,,,,信号强度,,,,,,,,,,,,,,,,Signal Strength,
general,SSI,,Signal Strength Isolated,,,,,信号隔离,,,,,,,,,,,,,,,,Signal Strength Aislada,
general,,,Simulation distance,,,,,模拟距离,,,,,,,,,,,,,,,,Distancia de Simulado,
general,,,Size/Dimension,,,,,体积,,,,,,,,,,,,,,,,Tamaño/Dimensiones,
general,,,Skeleton,,,,,骷髅/小白,,,,,,,,,,,,,,,,Esqueleto,
general,,,Slice,,A repeatable (preferably tileable ) component within a system.,,,单片,,,,,,,,,,,,,,,,Slice,
general,,,Slime-less,,Adjective. Usually refers to the absence of slime ball and slime blocks of a contraption.,,,无粘,,,,,,,,,,,,,,,,Sin Bloques de Slime,
general,,,Slimestone,,Flying machine related technology.,,,绿萌,,,,,,,,,,,,,,,,Slimestone,
general,,,Smart Piston,,Usually referred to a piston that automatically extends when a block is placed in front of it,,,自行活塞,一般指当面前有方块被放置就会自动伸出的活塞,,,,,,,,,,,,,,,Piston Inteligente,
general,,,Smooth Wall,,,,,平墙,,,,,,,,,,,,,,,,Pared Plana,
general,,,Solid State,,"Used to tag a contraption that has no moving parts or, more loosely, that has no pistons spitting blocks, or other forms of Toggle state. This term is also sometimes interchangeably used with Pistonless, although you can have a solid state contraption (in the loose way) with pistons by having them never spit out the block, i.e. powering them with long pulses only.",,,静态结构*,,,,,,,,,,,,,,,,Estado Sólido,
general,,,Sorter,,,,,分类器,,,,,,,,,,,,,,,,Clasificador,
general,,,Spawning Chamber,,,,,生成室,,,,,,,,,,,,,,,,Cámara de Spawneo,
general,,,Spawning Potential,,,,,刷怪势能/生成势,,,,,,,,,,,,,,,,Potencial de Spawneo,
general,,,Splitter,,,,,分流,,,,,,,,,,,,,,,,Divisor,
general,,,Stack,,"Refers to a pile of entities, such as items or mobs",,,堆,,,,,,,,,,,,,,,,Stack,
general,,,Sub Chunk,,,,,子区块,,,,,,,,,,,,,,,,Sub Chunk,
general,,,Sync,,,,,同步,,,,,,,,,,,,,,,,Síncrono,
general,,,Terrain Height,,,,,地形高度,,,,,,,,,,,,,,,,Altura del Terreno,
general,t,,Tick (aka Game Tick),,"Minecraft iteratively runs its processing code in a loop. One cycle of this loop is called a Tick or Gametick (gt). Gameticks are also used as the default measurement of time while working with redstone. The game attempts to run 20 gameticks a second (20tps), but will fail to do so and slow down the game if the server is lagging (>50mspt). ",,,游戏刻,同游戏刻（GameTick）,,,,,,,,,,,,,,,Tick,
general,TPS,,Ticks Per Second,,"A measurement of how many gameticks are happening each second. The game normally operates at 20TPS, but if MSPT exceeds 50ms then the game will start to slow down. Mods such as Carpet Mod are able to stop, slow down, or speed up the tick speed of a server, which can be useful for testing.",,,TPS,游戏每秒执行的游戏刻的数量。,,,,,,,,,,,,,,,Ticks por Segundo,
general,TE,,Tile Entity (aka Block Entity),,,,,方块实体,同BlockEntity,,,,,,,,,,,,,,,Tile Entity,
general,TES,,Tile Entity Swap ,,,,,方块实体替换,,,,,,,,,,,,,,,,,
general,TEUD,,Tile Entity Update Detector (aka Comparator Update Detector),,"Refers to a comparator that will change its signal once it either receives a block or inventory update. It is based on the behavior inherent to comparators where they don't notice inventory changes when reading it through a solid block (including an inventory being moved away or put in place, like a composter being moved by a piston). The CUD will then change it's signal once it either receives a block or inventory update.",,,方块实体更新检测器,,,,,,,,,,,,,,,,Detector de Updates de Tile Entities (Detector de Updates de Comparadores),
general,TT,,Tile Tick (aka Block Tick),,,,,计划刻,指游戏中为特定方块安排的延迟执行任务。,,,,,,,,,,,,,,,Tile Tick,
general,TTP,,Tile Tick Priority,,,,,计划刻优先级,,,,,,,,,,,,,,,,Prioridad de Tile Ticks,
general,,,Tileable,,,,,可堆叠/拼接的,,,,,,,,,,,,,,,,Tileable,
general,,,TNT Duping,,,,,TNT复制,,,,,,,,,,,,,,,,Duplicación de TNT,
general,,,TNT Looting,,,,,TNT掠夺,,,,,,,,,,,,,,,,Looting con TNT,
general,,,Up Acceleration,,,,,上弹,,,,,,,,,,,,,,,,Aceleración hacia arriba,
general,,,Update Order,,,,,更新顺序,,,,,,,,,,,,,,,,Orden de Updates,
general,,,Village (V),,,,,村庄运算,,,,,,,,,,,,,,,,Aldea,
general,,,Void Trading,,"A method that allowed players to trade infinitely by unloading a chunk where a villager is located while its trading window is open, and then making the trade while the villager isn't rendered.",,,虚空交易,,,,,,,,,,,,,,,,Void Trading,
general,,,Wallstone,,Refers to a method of sending signal or update through the shape change of walls.,,,墙电,,,,,,,,,,,,,,,,Wallstone,
general,,,Water stream,,,,,水道,,,,,,,,,,,,,,,,Corriente de agua,
general,,,Wiring,,,,,布线/线路,,,,,,,,,,,,,,,,Cableado (Wiring),
general,Wiske,,Wither Skeleton,,,,,凋灵骷髅,,,,,,,,,,,,,,,,Esqueleto Wither,
general,,,Workstation (aka Job Site Block),,Any block that a player or villager can use to produce items.,,,（村民）工作站,,,,,,,,,,,,,,,,Mesa de trabajo,
general,WDL,,World Download,,,,,存档,,,,,,,,,,,,,,,,Descaga de mundo,
general,WTU,,World Time Update,,,,,世界时间更新,,,,,,,,,,,,,,,,Actualización de World Time,
general,,\d+\s*-?\s*[Cc]ore\b,X Core,,"Usually refers to a contraption with X amount of cores, such as dual-core, tri-core etc.",,,X 核,,,,,,,,,,,,,,,,X Core,
general,{count}t,\d+\s*-?\s*(?:game\s+)?tick\b,{count} tick,,{count} amount of game ticks.,,,{count} t,,,,,,,,,,,,,,,,{count} tick,
general,{count}wABt,\d+\s*-?\s*[Ww]ide\s+AB\s+[Tt]ileable\b,{count}-Wide AB Tileable,,"An extension of {count}-Wide tileable, but where a solution has been provided by the author on how to put 2 Slices of the same system next to each other, by moving/editing some components within the system. The capital letters ( AB, or ABC, or ABCD, ... ) annotate how the slices are tiled, and how many versions of the slice exist to achieve a result.",,,{count}宽AB堆叠,,,,,,,,,,,,,,,,"X de Ancho, AB Tileable",
general,{count}wt,\d+\s*-?\s*[Ww]ide\s+[Tt]ileable\b,{count}-Wide Tileable,,"Annotates the width of a slice, and whether or not you can build them right next to each other. There are systems that are 1 wide, but you can't put 2 next to each other due to Crosstalk, so they don't get this annotation. Sometimes they are {count}-Wide AB Tileable instead.",,,{count}宽堆叠,,,,,,,,,,,,,,,,"X de Ancho, Tileable",
general; storage,,,Item Sorter,,Storage tech term.,,,物品分类,,,,,,,,,,,,,,,,Clasificador de Items,
general; storage,ST,,Storage Tech,,"Storage Technology, usually referred to item sorting and storage systems",,,储电/储存电路,,,,,,,,,,,,,,,,Storage Tech (Tecnologías de Almacenes),
general; tree_farm,,,QC Detection,,"Tree farming term. Refers to a method of detecting tree growth by QC powering the bottom log and updating a piston below the dirt, which extends when a tree grows, thus activating the farm.",,,QC检测,树场述语，指利用充能树木根部并利用其形成的QC状态检测树苗是否长大。,,,,,,,,,,,,,,,Detección con Cuasiconectividad (QC),
glitch,,,Cast (Update) Suppression (aka CCE Suppression/Shulker Suppression) ,,"Refers to a type of update suppression/suppressor based on CCE that is state-less and does not require reset, broken in ≥1.20.2. This can be achieved by using Tile Entity Swap to make a shulker box have a tile entity that is not a container, and make a comparator read from the box. Updating the comparator (with Block Update or Comparator Update) will make the box attempt to treat the non-container tile entity as container tile entity to calculate output, which then throws a CCE. The suppressor can also be toggled by powering the comparator. ",,,强制类型转换更新抑制/强转更新抑制 ,指基于CCE的没有状态、不需要重置的更新抑制，在≥1.20.2已失效。如利用方块实体替换，让一个潜影盒拥有一个非容器的方块实体，并且让一个比较器读取潜影盒的输出。更新该比较器（以方块更新或比较器更新）会使潜影盒尝试将非容器方块实体当作容器方块实体计算输出，然后就抛CCE异常了。充能比较器可以开关该抑制器。,,,,,,,,,,,,,,,,
glitch,,,CCE Box ,,,,,魔法盒/魔盒,,,,,,,,,,,,,,,,,
glitch,,,CCE Suppression (aka Cast (Update) Suppression/Shulker Suppression) ,,"Refers to a type of update suppression/suppressor based on CCE that is state-less and does not require reset, broken in ≥1.20.2. This can be achieved by using Tile Entity Swap to make a shulker box have a tile entity that is not a container, and make a comparator read from the box. Updating the comparator (with Block Update or Comparator Update) will make the box attempt to treat the non-container tile entity as container tile entity to calculate output, which then throws a CCE. The suppressor can also be toggled by powering the comparator. ",,,强制类型转换更新抑制/强转更新抑制 ,指基于CCE的没有状态、不需要重置的更新抑制，在≥1.20.2已失效。如利用方块实体替换，让一个潜影盒拥有一个非容器的方块实体，并且让一个比较器读取潜影盒的输出。更新该比较器（方块更新或比较器更新）会使潜影盒尝试将非容器方块实体当作容器方块实体计算输出，然后就抛CCE异常了。充能比较器可以开关该抑制器。,,,,,,,,,,,,,,,,
glitch,,,OOM (Update) Suppression,,Short for OutOfMemory Suppression. A type of update suppression by filling up the memory and causing an OOM error. ,,,内存溢出更新抑制 ,通过填满内存，让游戏抛出内存溢出异常的更新抑制方式。,,,,,,,,,,,,,,,,
glitch,,,Shulker Suppression (aka Cast (Update) Suppression/CCE Suppression) ,,"Refers to a type of update suppression/suppressor based on CCE that is state-less and does not require reset, broken in ≥1.20.2. This can be achieved by using Tile Entity Swap to make a shulker box have a tile entity that is not a container, and make a comparator read from the box. Updating the comparator (with Block Update or Comparator Update) will make the box attempt to treat the non-container tile entity as container tile entity to calculate output, which then throws a CCE. The suppressor can also be toggled by powering the comparator. ",,,强制类型转换更新抑制/强转更新抑制 ,指基于CCE的没有状态、不需要重置的更新抑制，在≥1.20.2已失效。如利用方块实体替换，让一个潜影盒拥有一个非容器的方块实体，并且让一个比较器读取潜影盒的输出。更新该比较器（方块更新或比较器更新）会使潜影盒尝试将非容器方块实体当作容器方块实体计算输出，然后就抛CCE异常了。充能比较器可以开关该抑制器。,,,,,,,,,,,,,,,,
glitch,,,Sound Suppression/Suppressor ,,"A type of suppression that suppresses game events on a specific channel within a 16 block radius. Can be used for update suppression, block protection, and item shadowing. Works in version 1.20-1.21.0 but will break on reload before 1.20.2. Sound suppressors rely on a TES between a calibrated sculk sensor and another tile entity which has at least 4 orientations (sculk sensor data goes into other block entity). The data of the sculk sensor will still actively listen for game events, but when it detects one, it will attempt to set the block state “sculk sensor phase” to “cooldown”, which will cause an exception (IAE) because only sculk sensors have this block state.",,,声音抑制/抑制器 ,,,,,,,,,,,,,,,,,
glitch,,,Stack Overflow (Update) Suppression ,,,,,栈溢出更新抑制 ,是利用方块更新的大量传播填满栈，让游戏抛出栈溢出异常来实现更新抑制的方法。在≥1.19已失效。,,,,,,,,,,,,,,,,
mechanical,DPE,,Double Piston Extender,,,,,二次递推/递归,,,,,,,,,,,,,,,,Doble Extensor de Pistones,
mechanical,,,Folding DPE,,"A double piston extender that pushes another sticky piston in from the side, usually used in 0-tick redstone contraptions to move blocks over two blocks as fast as possible.",,,折叠二递推,,,,,,,,,,,,,,,,Doble Extensor de Pistones Retraíble,
mechanical,TPE,,Triple Piston Extender,,,,,三次递推/递归,,,,,,,,,,,,,,,,Triple extensor de pistones,
mob_farm,,,Boat Capturing,,Refers the act of capturing entities with boats for further processing.,,,船吸,船吸。指使用船捕获实体以处理的行为。,,,,,,,,,,,,,,,Captura con barcas,
mob_farm,,,Boat Looting,,Refers to a mob killing method by capturing the mobs with boats to remove from mob cap and killing afterwards.,,,船吸掠夺,指通过用船捕获生物以移除其对生物上限的占用，随后进行击杀的掠夺方法。,,,,,,,,,,,,,,,Looting con barcas,
mob_farm,BM,,Bone Meal,,Plant fertilizer.,,,骨粉,植物催熟,,,,,,,,,,,,,,,Polvo de hueso,
mob_farm,,,Bortal,,,,,船吸双维度,指结合船吸跨维度传输实体以进行处理的行为。,,,,,,,,,,,,,,,Bortal (Barca + Portal),
mob_farm,,,Corner Portal,,Refers to the nether portal setup where entities passing through ends up in lazy chunk.,,,角落门*,一种让通过的实体出现在弱加载区块的特殊地狱门放置。,,,,,,,,,,,,,,,Corner Portal (técnica de looting),
mob_farm,,,Despawn Looting,,,,,消失掠夺,,,,,,,,,,,,,,,,Despawn Looting,
mob_farm,,,Ghast Looting,,,,,恶魂掠夺,使用恶魂火球进行掠夺操作的行为。,,,,,,,,,,,,,,,Looting con Ghasts,
mob_farm,,,Killing Chamber,,,,,击杀室,实体在该舱室内被杀死，其掉落物被收集。,,,,,,,,,,,,,,,Killing Chamber,
mob_farm,,,Lazy Looting,,,,,弱加载掠夺,实体在弱加载区域击杀与掠夺实体的行为。,,,,,,,,,,,,,,,Looting con Lazy chunks,
mob_farm,,,Pack Spawning,,,,,刷怪游走,,,,,,,,,,,,,,,,Spawneo en Manada,
other,,,Aligner,,,,,（实体）对正装置/矫正装置/矫正器/校准器,用于将实体在空间中对齐的装置,,,,,,,,,,,,,,,Alineador,
other,,,BUD Line,,,,,BUD链,使用BUD特性快速传递方块更新/信号的装置。,,,,,,,,,,,,,,,BUD Line,
other,,,Color Swapping/Swapper,,A contraption or feature of a gravity block duper that can swap out the duped gravity blocks.,,,换色,在重力方块复制机中切换复制目标的功能。,,,,,,,,,,,,,,,Intercambiador de colores,
other,,,Float Alignment,,,,,浮点数对齐,将实体以浮点数为基准高精度对齐。,,,,,,,,,,,,,,,Alineamiento “float” (el tipo de dato en programación),
other,,,High Precision Entity Alignment,,,,,高精度实体对齐,高精度地控制实体坐标。,,,,,,,,,,,,,,,Alineamiento de entidades de alta precisión,
other,,,InfiniOmen (aka OmenInfinitum),,"Raid farming term. Refers to a 1.21.5+ bug, where the Bad Omen effect remains after transforming into Raid Omen, and triggering the Raid Omen effect for free every 30 seconds within the 100-minute duration of the Bad Omen effect.",,,无限袭击之兆,袭击术语。指一个1.21.5的漏洞，即在不祥之兆转化为袭击之兆后并没有消失，在效果持续的 100 分钟内，每 30 秒即可免费制造一次袭击之兆。,,,,,,,,,,,,,,,Infiniomen,
other,,,OmenInfinitum (aka infiniOmen),,"Raid farming term. Refers to a 1.21.5+ bug, where the Bad Omen effect remains after transforming into Raid Omen, and triggering the Raid Omen effect for free every 30 seconds within the 100-minute duration of the Bad Omen effect.",,,无限袭击之兆,袭击术语。指一个1.21.5的漏洞，即在不祥之兆转化为袭击之兆后并没有消失，在效果持续的 100 分钟内，每 30 秒即可免费制造一次袭击之兆。,,,,,,,,,,,,,,,OmenInfinitum,
other,OSS,,Overstacked Signal Strength (aka High Signal Strength),,,,,强模,可由比较器读出与传递的，信号强度超过15的非法信号。,,,,,,,,,,,,,,,Sobrecarga de Signal Strength,
other,,,Perfect Aligner (aka 4D Aligner),,"Refers to a contraption that aligns items in all three axes before sending them down a stream, where they usually get picked up by hoppers. Since these contraptions are usually ran at Hopper speed, the items need to have a perfect timing between them, so that they don't reach a hopper during its cooldown stage, hence why these are also called 4D aligners (3D+time).",,,完全矫正器*,,,,,,,,,,,,,,,,"Alineador Perfecto, (4D (x, y, z, tiempo))",
other,,,Pod,,Usually refers to the amount of villagers in groups of 3 in an iron farm.,,,核,通常指刷铁机内村民组（3个为一组）的数量。,,,,,,,,,,,,,,,Cápsula,
other,,,Raid Shifting,,Raid farming term.,,,袭击迁移,,,,,,,,,,,,,,,,Desplazamiento de Raids,
other,,,Raid Stacking,,Raid farming term.,,,袭击堆叠,,,,,,,,,,,,,,,,Stackeo de Raids,
other,,,Stationary POI,,Raid farming term.,,,静态兴趣点,,,,,,,,,,,,,,,,Punto de Interés estacionario,
other,,,Supressor Arm ,,,,,BUD链,,,,,,,,,,,,,,,,,
other,,,Workstation Forcing,,Raid farming term.,,,可控认领/可控村民就职,,,,,,,,,,,,,,,,Forzado de mesa de trabajo,
other,,,B36 TNT,,Refers to a blast chamber component that shields item entities from explosion damage by enclosing the TNT entity into a moving block.,,,推爆,指爆炸室中的一种组件，通过将TNT实体封闭在移动方块中，保护物品实体免受爆炸伤害。,,,,,,,,,,,,,,,TNT en B36,
other,,,Blast Chamber,,,,,爆炸室,使用爆炸摧毁方块的舱室,,,,,,,,,,,,,,,Blast Chamber,
other,,,Obsidian Condom Blast Chamber,,,,,奶爆/纯牛奶爆炸室,指一种利用爆炸射线从方块边缘泄漏的特性制造的，可以有效保护掉落物安全的爆炸室,,,,,,,,,,,,,,,Blast Chamber con Condón de Obsidiana,
other,,,(TNT) Basket,,Cannon term. Usually refers to a place where you align TNT or other propellant so that it can explode and apply motion to something else.,,,炮口,大炮术语。通常指一个用于放置TNT或其他推进剂的装置，使其爆炸并推动其他物体。,,,,,,,,,,,,,,,Cesta (de TNT),
other,,,Lazy Acceleration,,Refers to a method of entity acceleration where entities are accelerated by explosions or collisions while remaining in lazy chunks.,,,弱加载蓄力,使用爆炸等手段向弱加载的实体施加动量的行为。,,,,,,,,,,,,,,,Aceleración en Lazy,
other,,,Propellant,,Mostly used in cannons,,,推进剂,,,,,,,,,,,,,,,,Comburente,
other,,,,,Can also be referred to as the phenomenon of collision checking along axes in entity movement based on Entity.move().,,,沿轴运动/沿轴移动,,,,,,,,,,,,,,,,,
other; storage,HSS,,High Signal Strength (aka Overstacked Signal Strength),,Storage tech term.,,,强模,可由比较器读出与传递的，信号强度超过15的非法信号。,,,,,,,,,,,,,,,Sobrecarga de Signal Strength,
people,,,ilmango,,,,,芒果/李芒果,,,,,,,,,,,,,,,,ilmango,
slimestone,,,AND-Gate,,Slimestone term. Usually refers to the AND-gate in flying machines.,,,安全连杆,绿萌术语。通常指飞行器中的与门，用于控制多个输入信号的逻辑组合,,,,,,,,,,,,,,,Puerta AND,
slimestone,,,Overhead,,"Slimestone term. Usually used for bedrock breakers, which is the amount of extra space a machine requires to move down a layer. It is usually only 1 number, which means it's the same in all directions, but can be multiple instead, usually 1 for each direction. It's the number of additional blocks that must be broken around the machine's primary breaking pattern to create a hole large enough for the machine to fit.",,,预留,,,,,,,,,,,,,,,,Overhead,
